date,new_deaths,new_diagnoses,new_recoveries,new_severe,new_tests
2022-01-06,24,293,300,8,7743
2022-01-07,26,291,416,17,7794
2022-01-08,23,286,320,20,7845
2022-01-09,25,283,333,18,7896
2022-01-10,26,285,254,21,7947
2022-01-11,25,279,235,22,7998
2022-01-12,26,287,313,20,8049
2022-01-13,24,289,309,21,8100
2022-01-14,26,301,166,23,8151
2022-01-15,25,310,318,25,8202
2022-01-16,26,325,266,18,8253
2022-01-17,23,325,242,19,8304
2022-01-18,25,339,296,22,8355
2022-01-19,24,346,36,20,8406
2022-01-20,26,356,238,23,8457
2022-01-21,24,381,281,19,8508
2022-01-22,23,411,308,20,8315
2022-01-23,26,431,305,22,8123
2022-01-24,25,454,71,21,7931
2022-01-25,24,475,222,20,7738
2022-01-26,26,507,259,22,7546
2022-01-27,25,547,271,22,8444
2022-01-28,23,628,279,19,9342
2022-01-29,25,807,241,23,10240
2022-01-30,26,1107,90,24,11137
2022-01-31,24,1289,70,22,12035
2022-02-01,25,1439,152,23,10261
2022-02-02,24,1851,148,21,10255
2022-02-03,26,2293,482,22,14057
2022-02-04,23,2702,468,24,15529
2022-02-05,22,3123,493,20,14933
2022-02-06,21,3460,498,18,14338
2022-02-07,19,3653,583,19,13742
2022-02-08,16,3762,1024,15,13147
2022-02-09,19,4098,1485,17,12551
2022-02-10,21,4438,1655,18,11956
2022-02-11,22,4616,1699,20,11360
2022-02-12,20,4677,1701,18,10765
2022-02-13,19,4757,1542,20,10169
2022-02-14,16,4817,1245,21,9574
2022-02-15,22,4466,1632,23,8978
2022-02-16,21,4557,1683,22,8383
2022-02-17,20,4314,1835,19,7787
2022-02-18,22,4246,7837,17,7192
2022-02-19,20,4175,6086,15,6596
2022-02-20,20,4113,10916,18,6001
2022-02-21,20,3900,12680,20,5405
2022-02-22,23,3534,6449,21,4810
2022-02-23,23,3493,5321,18,5196
2022-02-24,22,3347,4472,19,5583
2022-02-25,21,3250,4823,20,5969
2022-02-26,24,3039,5037,22,6191
2022-02-27,22,2916,4071,17,6355
2022-02-28,24,2799,3940,20,5330
2022-03-01,23,2476,4957,19,3786
2022-03-02,25,2113,4434,22,4603
2022-03-03,23,1860,2226,20,4603
2022-03-04,24,1682,2503,22,4603
2022-03-05,26,1530,2468,21,4603
2022-03-06,25,1484,1903,20,4603
2022-03-07,24,1422,1933,23,4603
2022-03-08,26,1269,1589,22,4603
2022-03-09,23,1172,1702,20,4603
2022-03-10,25,1089,3572,23,4603
2022-03-11,24,1017,2928,24,4603
2022-03-12,20,941,2459,24,4603
2022-03-13,18,804,752,14,4603
2022-03-14,16,691,1256,17,4603
2022-03-15,14,602,735,15,4603
2022-03-16,16,554,308,10,4603
2022-03-17,13,534,392,7,4603
2022-03-18,15,517,885,7,4603
2022-03-19,10,499,831,8,4603
2022-03-20,11,487,471,10,4603
2022-03-21,10,472,1124,11,4603
2022-03-22,9,451,844,8,4603
2022-03-23,12,424,671,8,4603
2022-03-24,10,401,501,9,4603
2022-03-25,9,386,633,7,4603
2022-03-26,7,379,479,5,4603
2022-03-27,7,371,495,6,4603
2022-03-28,10,350,423,7,4603
2022-03-29,8,325,391,6,4603
2022-03-30,9,317,689,7,4603
2022-03-31,10,308,301,8,4603
2022-04-01,7,289,284,5,4603
2022-04-02,8,273,477,6,4603
2022-04-03,9,253,197,4,4603
2022-04-04,7,226,279,5,4603
2022-04-05,9,204,441,6,4603
2022-04-06,7,196,346,4,4603
2022-04-07,6,191,174,3,4603
2022-04-08,8,187,530,5,4603
2022-04-09,5,185,655,4,4603
2022-04-10,7,179,427,3,4603
2022-04-11,5,171,494,2,4603
2022-04-12,7,170,410,4,4603
2022-04-13,4,172,631,2,4603
2022-04-14,4,169,657,2,4603
2022-04-15,4,162,715,2,4603
2022-04-16,3,157,698,2,4603
2022-04-17,5,151,435,3,4603
2022-04-18,3,142,735,1,4603
2022-04-19,3,139,156,1,4603
2022-04-20,5,137,110,3,4603
2022-04-21,4,134,143,2,4603
2022-04-22,5,133,165,3,4603
2022-04-23,3,130,62,2,4603
2022-04-24,4,128,156,2,4603
2022-04-25,3,123,108,1,4603
2022-04-26,3,115,420,1,4603
2022-04-27,3,113,437,2,4603
2022-04-28,2,109,475,1,4603
2022-04-29,4,104,760,2,4603
2022-04-30,3,101,181,2,4603
2022-05-01,3,99,44,1,4603
2022-05-02,2,94,84,1,4603
2022-05-03,4,91,280,1,4603
2022-05-04,1,86,249,1,4603
2022-05-05,3,83,124,2,4603
2022-05-06,2,82,97,1,4603
2022-05-07,1,80,52,1,4603
2022-05-08,3,78,50,1,4603
2022-05-09,3,75,82,1,4603
2022-05-10,1,74,86,1,4603
2022-05-11,0,71,101,0,4603
2022-05-12,2,70,103,1,4603
2022-05-13,1,72,82,0,4603
2022-05-14,3,71,93,0,4603
